year,id,tons
1960,1,66846
1961,2,63032
1962,3,69212
1963,4,77350
1964,5,82747
1965,6,85766
1966,7,93156
1967,8,100294
1968,9,101156
1969,10,109049
1970,11,125305
1971,12,119389
1972,13,121187
1973,14,127645
1974,15,137197
1975,16,143613
1976,17,143972
1977,18,146262
1978,19,135689
1979,20,147782
1980,21,150144
1981,22,157559
1982,23,150215
1983,24,131217
1984,25,159541
1985,26,152272
1986,27,153933
1987,28,165192
1988,29,157852
1989,30,167389
1990,31,173322
1991,32,158980
1992,33,161068
1993,34,156299
1994,35,161642
1995,36,153739
1996,37,152425
1997,38,155853
1998,39,150295
1999,40,139626
2000,41,130688
2001,42,134297
2002,43,124388
2003,44,113126
2004,45,114743
2005,46,120029
2006,47,121127
2007,48,115530
2008,49,120778
2009,50,107802
2010,51,105267
